0447;12042
0448;12068
0449;12075
044A;12082
044B;12090
044C;12097
044D;12108
044E;12113
044F;12122
0450;11758
0451;11762
0452;11745
0453;11723
0454;11764
0455;11797
0456;11824
0457;11829
0458;11836
0459;11877
045A;11909
045B;11970
045C;11847
045D;11816
045E;11977
045F;12065
0460;12020
0461;12018
0462;12105
0463;12103
0464;12128
0465;12126
0466;12131
0467;12129
0468;12140
0469;12139
046A;12136
046B;12134
046C;12145
046D;12143
046E;12147
046F;12146
0470;12149
0471;12148
0472;12152
0473;12150
0474;12154
0475;12153
0476;12156
0477;12155
0478;11995
0479;11994
047A;12028
047B;12027
047C;12026
047D;12025
047E;12022
047F;12021
0480;11936
0481;11935
0482;119
0483;8237
0484;8206
0485;8189
0486;8188
0487;8206
0488;1
0489;1
048A;11823
048B;11822
048C;12102
048D;12101
048E;11942
048F;11941
0490;11727
0491;11726
0492;11729
0493;11728
0494;11733
0495;11732
0496;11781
0497;11780
0498;11752
0499;11751
049A;11850
049B;11849
049C;11858
049D;11857
049E;11856
049F;11855
04A0;11854
04A1;11853
04A2;11902
04A3;11901
04A4;11908
04A5;11907
04A6;11934
04A7;11933
04A8;12160
04A9;12159
04AA;11954
04AB;11953
04AC;11967
04AD;11966
04AE;11986
04AF;11985
04B0;11989
04B1;11988
04B2;12011
04B3;12010
04B4;12039
04B5;12038
04B6;12054
04B7;12053
04B8;12058
04B9;12057
04BA;12013
04BB;12012
04BC;12062
04BD;12061
04BE;12064
04BF;12063
04C0;12164
04C1;11773
04C2;11772
04C3;11852
04C4;11851
04C5;11870
04C6;11869
04C7;11904
04C8;11903
04C9;11900
04CA;11899
04CB;12056
04CC;12055
04CD;11890
04CE;11889
04CF;12163
04D0;11698
04D1;11697
04D2;11700
04D3;11699
04D4;11707
04D5;11706
04D6;11761
04D7;11760
04D8;11702
04D9;11701
04DA;11705
04DB;11704
04DC;11775
04DD;11774
04DE;11788
04DF;11787
04E0;11803
04E1;11802
04E2;11821
04E3;11820
04E4;11819
04E5;11818
04E6;11920
04E7;11919
04E8;11922
04E9;11921
04EA;11925
04EB;11924
04EC;12112
04ED;12111
04EE;11984
04EF;11983
04F0;11980
04F1;11979
04F2;11982
04F3;11981
04F4;12048
04F5;12047
04F6;11735
04F7;11734
04F8;12096
04F9;12095
04FA;11731
04FB;11730
04FC;12007
04FD;12006
04FE;12009
04FF;12008
0500;11742
0501;11741
0502;11750
0503;11749
0504;11792
0505;11791
0506;11808
0507;11807
0508;11882
0509;11881
050A;11912
050B;11911
050C;11952
050D;11951
050E;11965
050F;11964
0510;11794
0511;11793
0512;11874
0513;11873
0514;11884
0515;11883
0516;11944
0517;11943
0518;12125
0519;12124
051A;11862
051B;11861
051C;12162
051D;12161
051E;11860
051F;11859
0520;11876
0521;11875
0522;11906
0523;11905
0524;11932
0525;11931
0526;12015
0527;12014
0528;11898
0529;11897
052A;11777
052B;11776
052C;12050
052D;12049
052E;11872
052F;11871
0531;12517
0532;12520
0533;12522
0534;12524
0535;12526
0536;12529
0537;12531
0538;12533
0539;12535
053A;12537
053B;12539
053C;12541
053D;12543
053E;12545
053F;12547
0540;12549
0541;12551
0542;12553
0543;12555
0544;12557
0545;12563
0546;12566
0547;12568
0548;12570
0549;12572
054A;12574
054B;12576
054C;12578
054D;12580
054E;12582
054F;12585
0550;12587
0551;12589
0552;12591
0553;12593
0554;12595
0555;12597
0556;12599
0559;12600
055A;120
055B;121
055C;122
055D;123
055E;124
055F;125
0560;12518
0561;12516
0562;12519
0563;12521
0564;12523
0565;12525
0566;12528
0567;12530
0568;12532
0569;12534
056A;12536
056B;12538
056C;12540
056D;12542
056E;12544
056F;12546
0570;12548
0571;12550
0572;12552
0573;12554
0574;12556
0575;12562
0576;12565
0577;12567
0578;12569
0579;12571
057A;12573
057B;12575
057C;12577
057D;12579
057E;12581
057F;12584
0580;12586
0581;12588
0582;12590
0583;12592
0584;12594
0585;12596
0586;12598
0587;12527
0588;12564
0589;126
058A;127
058D;128
058E;129
058F;8527
0591;1
0592;1
0593;1
0594;1
0595;1
0596;1
0597;1
0598;1
0599;1
059A;1
059B;1
059C;1
059D;1
059E;1
059F;1
05A0;1
05A1;1
05A2;1
05A3;1
05A4;1
05A5;1
05A6;1
05A7;1
05A8;1
05A9;1
05AA;1
05AB;1
05AC;1
05AD;1
05AE;1
05AF;1
05B0;8239
05B1;8240
05B2;8241
05B3;8242
05B4;8243
05B5;8244
05B6;8245
05B7;8246
05B8;8247
05B9;8248
05BA;8248
05BB;8249
05BC;8252
05BD;1
05BE;130
05BF;8253
05C0;131
05C1;8251
05C2;8250
05C3;132
05C4;1
05C5;1
05C6;133
05C7;8247
05D0;12601
05D1;12608
05D2;12612
05D3;12615
05D4;12619
05D5;12622
05D6;12627
05D7;12629
05D8;12630
05D9;12632
05DA;12640
05DB;12638
05DC;12644
05DD;12649
05DE;12647
05DF;12652
05E0;12651
05E1;12654
05E2;12656
05E3;12659
05E4;12658
05E5;12664
05E6;12663
05E7;12666
05E8;12668
05E9;12671
05EA;12677
05EF;12635
05F0;12625
05F1;12626
05F2;12636
05F3;8479
05F4;8480
0600;1
0601;1
0602;1
0603;1
0604;1
0605;1
0606;134
0607;135
0608;136
0609;137
060A;138
060B;8528
060C;139
060D;140
060E;141
060F;142
0610;1
0611;1
0612;1
0613;1
0614;1
0615;1
0616;1
0617;1
0618;1
0619;1
061A;1
061B;143
061C;1
061D;144
061E;145
061F;146
0620;13705
0621;12728
0622;12737
0623;12740
0624;12747
0625;12750
0626;12756
0627;12798
0628;12809
0629;12863
062A;12866
062B;12905
062C;12944
062D;12991
062E;13008
062F;13032
0630;13036
0631;13063
0632;13070
0633;13095
0634;13131
0635;13178
0636;13204
0637;13232
0638;13251
0639;13265
063A;13286
063B;13444
063C;13446
063D;13702
063E;13703
063F;13704
0640;1
0641;13310
0642;13352
0643;13377
0644;13450
0645;13500
0646;13534
0647;13587
0648;13619
0649;13650
064A;13657
064B;8266
064C;8271
064D;8276
064E;8281
064F;8289
0650;8296
0651;8303
0652;8307
0653;8310
0654;8312
0655;8313
0656;8315
0657;8316
0658;8317
0659;8319
065A;8320
065B;8321
065C;8322
065D;8323
065E;8324
065F;8314
0660;8577
0661;8588
0662;8666
0663;8712
0664;8743
0665;8769
0666;8787
0667;8803
0668;8820
0669;8836
066A;147
066B;148
066C;149
066D;150
066E;12807
066F;13350
0670;8333
0671;12744
0672;12743
0673;12753
0674;12729
0675;12732
0676;12733
0677;12734
0678;12736
0679;12924
067A;12929
067B;12836
067C;12934
067D;12935
067E;12841
067F;12936
0680;12846
0681;13023
0682;13024
0683;12965
0684;12970
0685;13025
0686;12976
0687;12982
0688;13041
0689;13044
068A;13045
068B;13046
068C;13047
068D;13050
068E;13054
068F;13057
0690;13058
0691;13074
0692;13077
0693;13078
0694;13079
0695;13080
0696;13081
0697;13082
0698;13083
0699;13086
069A;13169
069B;13170
069C;13171
069D;13228
069E;13230
069F;13260
06A0;13303
06A1;13331
06A2;13333
06A3;13335
06A4;13336
06A5;13342
06A6;13343
06A7;13371
06A8;13373
06A9;13406
06AA;13411
06AB;13412
06AC;13413
06AD;13415
06AE;13420
06AF;13423
06B0;13430
06B1;13431
06B2;13436
06B3;13437
06B4;13442
06B5;13493
06B6;13494
06B7;13495
06B8;13496
06B9;13582
06BA;13570
06BB;13575
06BC;13580
06BD;13581
06BE;13602
06BF;12981
06C0;13616
06C1;13607
06C2;13612
06C3;13613
06C4;13625
06C5;13626
06C6;13629
06C7;13632
06C8;13635
06C9;13638
06CA;13641
06CB;13642
06CC;13688
06CD;13694
06CE;13695
06CF;13646
06D0;13696
06D1;13701
06D2;13710
06D3;13713
06D4;151
06D5;13615
06D6;1
06D7;1
06D8;1
06D9;1
06DA;1
06DB;1
06DC;1
06DD;1
06DE;152
06DF;1
06E0;1
06E1;1
06E2;1
06E3;1
06E4;1
06E5;13620
06E6;13658
06E7;1
06E8;1
06E9;153
06EA;1
06EB;1
06EC;1
06ED;1
06EE;13059
06EF;13087
06F0;8577
06F1;8588
06F2;8666
06F3;8712
06F4;8743
06F5;8769
06F6;8787
06F7;8803
06F8;8820
06F9;8836
06FA;13172
06FB;13231
06FC;13305
06FD;12731
06FE;13506
06FF;13614
0700;154
0701;155
0702;156
0703;157
0704;158
0705;159
0706;160
